排名,笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接
1,1113股里冲浪之王交易思考与计划,股里冲浪之王（大号没了换这个）,2025-11-13,1000-3000,5%-15%,50%-70%,￥0-1000,
2,我的心理年龄16岁，差了整整10岁🤔,为你而测,2025-10-18,3万-5万,0-5%,50%-70%,￥0-1000,
3,我们高喊无爱者自由…,心晴,2025-11-11,7万-10万,0-5%,50%-70%,￥0-1000,
4,1114思考与计划,股里冲浪之王（大号没了换这个）,2025-11-14,1000-3000,5%-15%,50%-70%,￥0-1000,
5,ENFP越想活得热烈，越被现实浇灭,心晴,2025-11-09,10万以上,0-5%,50%-70%,￥1000-5000,
6,1110～1114周报,小红薯6912B351,2025-11-09,5000-7000,5%-15%,50%-70%,￥0-1000,
7,如果你怀疑自己正焦虑或抑郁，可以来测一测,身心疗愈研究室,2025-09-26,1万-3万,15%-25%,50%-70%,￥1000-5000,
8,承认吧！你内心藏着一个小恶魔！还是偏科的。,心灵探索星球,2025-10-06,5000-7000,5%-15%,50%-70%,￥0-1000,
9,想不到我还挺有天赋的？,心理交流站,2025-10-23,10万以上,0-5%,50%-70%,￥0-1000,
10,天呐！原来我是精致利己界的显眼包…,心灵探索星球,2025-10-17,3000-5000,5%-15%,50%-70%,￥0-1000,
11,怎么知道自己是抑郁，还是单纯不开心呢​？,心理扫码站,2025-10-15,3000-5000,0-5%,50%-70%,￥0-1000,
12,恋爱占有欲指数测试免兑换码,元宝家的,2025-11-04,1000-3000,15%-25%,50%-70%,￥0-1000,
13,-,离雨淬阁,2025-09-10,1000-3000,15%-25%,25%-50%,￥0-1000,
14,1111思考与计划,股里冲浪之王（大号没了换这个）,2025-11-11,1000-3000,5%-15%,25%-50%,￥0-1000,
15,考研政治1994~2025历年真题及答案解析 自取,离雨淬阁,2025-09-08,3000-5000,5%-15%,25%-50%,￥0-1000,
16,第一次去看心理医生的大概流程和花销,若愚心理观测站,2025-10-15,3000-5000,0-5%,25%-50%,￥0-1000,
17,焦虑症如果不去看心理老师会越来越严重吗？,身心疗愈心理研究院,2025-09-21,5000-7000,0-5%,25%-50%,￥0-1000,
18,1112思考与计划,股里冲浪之王（大号没了换这个）,2025-11-12,3000-5000,5%-15%,25%-50%,￥0-1000,
19,医院是怎么确诊抑郁/焦虑症的？,若愚心理观测站,2025-09-17,3000-5000,0-5%,25%-50%,￥0-1000,
