笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接,内部 noteId
1113股里冲浪之王交易思考与计划,股里冲浪之王（大号没了换这个）,2025-11-13,1000-3000,5%-15%,50%-70%,￥0-1000,,
我的心理年龄16岁，差了整整10岁🤔,为你而测,2025-10-18,3万-5万,0-5%,50%-70%,￥0-1000,,
我们高喊无爱者自由…,心晴,2025-11-11,7万-10万,0-5%,50%-70%,￥0-1000,,
1114思考与计划,股里冲浪之王（大号没了换这个）,2025-11-14,1000-3000,5%-15%,50%-70%,￥0-1000,,
ENFP越想活得热烈，越被现实浇灭,心晴,2025-11-09,10万以上,0-5%,50%-70%,￥1000-5000,,
1110～1114周报,小红薯6912B351,2025-11-09,5000-7000,5%-15%,50%-70%,￥0-1000,,
如果你怀疑自己正焦虑或抑郁，可以来测一测,身心疗愈研究室,2025-09-26,1万-3万,15%-25%,50%-70%,￥1000-5000,,
承认吧！你内心藏着一个小恶魔！还是偏科的。,心灵探索星球,2025-10-06,5000-7000,5%-15%,50%-70%,￥0-1000,,
想不到我还挺有天赋的？,心理交流站,2025-10-23,10万以上,0-5%,50%-70%,￥0-1000,,
天呐！原来我是精致利己界的显眼包…,心灵探索星球,2025-10-17,3000-5000,5%-15%,50%-70%,￥0-1000,,
怎么知道自己是抑郁，还是单纯不开心呢​？,心理扫码站,2025-10-15,3000-5000,0-5%,50%-70%,￥0-1000,,
恋爱占有欲指数测试免兑换码,元宝家的,2025-11-04,1000-3000,15%-25%,50%-70%,￥0-1000,,
-,离雨淬阁,2025-09-10,1000-3000,15%-25%,25%-50%,￥0-1000,,
1111思考与计划,股里冲浪之王（大号没了换这个）,2025-11-11,1000-3000,5%-15%,25%-50%,￥0-1000,,
考研政治1994~2025历年真题及答案解析 自取,离雨淬阁,2025-09-08,3000-5000,5%-15%,25%-50%,￥0-1000,,
第一次去看心理医生的大概流程和花销,若愚心理观测站,2025-10-15,3000-5000,0-5%,25%-50%,￥0-1000,,
焦虑症如果不去看心理老师会越来越严重吗？,身心疗愈心理研究院,2025-09-21,5000-7000,0-5%,25%-50%,￥0-1000,,
1112思考与计划,股里冲浪之王（大号没了换这个）,2025-11-12,3000-5000,5%-15%,25%-50%,￥0-1000,,
医院是怎么确诊抑郁/焦虑症的？,若愚心理观测站,2025-09-17,3000-5000,0-5%,25%-50%,￥0-1000,,
不用再找了❗️,元宝家的,2025-11-02,3000-5000,15%-25%,25%-50%,￥0-1000,,
会有人得了双相自己毫无察觉吗？,疗愈心灵的港湾,2025-09-08,3000-5000,0-5%,25%-50%,￥0-1000,,
会有人得了焦虑症，自己不知道吗？,身心疗愈心理研究院,2025-10-07,3万-5万,5%-15%,25%-50%,￥0-1000,,
看清依然深刻的那些“伤” 才是自愈的开始,元点测试,2025-10-01,5000-7000,5%-15%,25%-50%,￥0-1000,,
4种恋爱人格类型自测，原来我是这样的💘,为你而测,2025-09-23,1万-3万,0-5%,25%-50%,￥0-1000,,
疯狂想吃东西以为是馋呢，原来是焦虑躯体化,玺宁心理检测站,2025-09-19,1万-3万,0-5%,25%-50%,￥0-1000,,
双相装不出来的,疗愈心灵的港湾,2025-10-18,3000-5000,5%-15%,25%-50%,￥0-1000,,
怀疑自己有抑郁焦虑症，但不敢去医院怕尴尬,Apple身心疗愈研究室,2025-10-11,1000-3000,5%-15%,25%-50%,￥0-1000,,
5分钟在线自测，抑郁焦虑程度,心理扫码站,2025-09-10,1000-3000,5%-15%,25%-50%,￥0-1000,,
很好奇 原来真的有心理性别,心理成长研究所,2025-11-08,1000-3000,5%-15%,25%-50%,￥0-1000,,
我和诡秘一个魔丸一个灵珠！,测测星海,2025-10-05,9000-1万,5%-15%,25%-50%,￥0-1000,,
你的占有欲太弱了,元宝家的,2025-11-06,1万-3万,0-5%,25%-50%,￥0-1000,,
